ori_alu;year;syn_alu
7.688745914591582;1991;4.760535
7.421971285686351;1992;5.294677
7.477271547083882;1993;5.856728
7.608536041855745;1994;6.269845
7.827806780450527;1995;6.703376
7.988259392910766;1996;6.895094
8.322304123945516;1997;7.514666
8.578739190833266;1998;8.076283
8.7404233117083;1999;8.435611
9.131618462057274;2000;9.028150999999999
9.328189508623545;2001;9.490593000000001
9.528804323238969;2002;10.496135
9.660181684279747;2003;10.382656
9.792539337534146;2004;10.834319
9.905549179886519;2005;11.267584
10.2057996703885;2006;11.953611
10.51540773401458;2007;12.628656
10.6439937644708;2008;13.269275
10.27327570621823;2009;12.992477
10.32034064481456;2010;13.414217
10.48020198032234;2011;14.099423
10.73716484680716;2012;14.230877
10.87514521157291;2013;14.527604
10.99152863162673;2014;9.788199000000001
