job_creation_ori;year;job_creation_syn
9.001806248036836;1992;18.3936086614608
10.22741299183185;1993;20.96007950642615
11.56182150695015;1994;21.28008599547684
10.41833221330858;1995;17.62299212095968
10.35202529060653;1996;17.80630294697403
11.03858474308804;1997;15.96578588577131
11.02804466918522;1998;15.90176988205485
9.743234529024019;1999;12.28289584207687
10.92925006295166;2000;14.92803044120024
8.063163623838458;2001;11.43767325399949
8.501140382417784;2002;11.88664253010074
8.04917053462928;2003;10.81070419118078
7.728018176139045;2004;11.16891552362631
9.010624744326933;2005;12.36450642720683
8.089543983233424;2006;11.35228387148004
7.194296063282013;2007;9.629313870055967
5.852187491117119;2008;9.034066400801066
4.819052589540256;2009;6.717798830197808
7.58897870170667;2010;9.300262316588714
8.268582122771045;2011;10.16695873377103
8.155455899023078;2012;10.55709384652346
6.595476726706069;2013;8.638344847014423
7.113095209237319;2014;8.712600273611315
