ori_pay;year;syn_pay
218.045124366;1991;255.840271899
217.641178584;1992;231.216359829
220.19479547;1993;240.69552191
228.963057244;1994;244.623297648
240.139660553;1995;259.984502806
251.15698863;1996;277.135837662
271.384424529;1997;304.700084842
289.681225115;1998;323.317819734
308.034160608;1999;348.403692279
338.212783867;2000;401.615119861
350.828362378;2001;411.606964305
359.848634757;2002;445.714124798
375.983694025;2003;488.368935195
398.321907172;2004;521.690800118
424.049738979;2005;574.71983539
447.308878053;2006;615.8847615339999
478.040363829;2007;672.589158753
493.403749118;2008;734.29030482
471.54850503;2009;730.120758369
488.419092184;2010;783.0924930039999
515.868031299;2011;839.844556101
540.773319894;2012;919.593066145
560.233853458;2013;978.141052791
583.416262914;2014;852.756632856
